DEBUG 2024-07-17 16:26:45,514 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\keras\src\layers\preprocessing\normalization.py first seen with mtime 1719939250.3849568
DEBUG 2024-07-17 16:26:45,514 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\pandas\core\internals\managers.py first seen with mtime 1719939257.2384434
DEBUG 2024-07-17 16:26:45,514 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\ops\histogram_ops.py first seen with mtime 1719939317.3296716
DEBUG 2024-07-17 16:26:45,514 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\setuptools\_vendor\packaging\_tokenizer.py first seen with mtime 1719541233.2817051
DEBUG 2024-07-17 16:26:45,514 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\ops\batch_ops.py first seen with mtime 1719939317.108825
DEBUG 2024-07-17 16:26:45,515 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\keras\utils\metrics_utils.py first seen with mtime 1719939316.887672
DEBUG 2024-07-17 16:26:45,515 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\ops\distributions\uniform.py first seen with mtime 1719939317.5032437
DEBUG 2024-07-17 16:26:45,515 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\_api\v2\debugging\__init__.py first seen with mtime 1719939288.014016
DEBUG 2024-07-17 16:26:45,515 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\jax\interpreters\mlir.py first seen with mtime 1719862522.7370694
DEBUG 2024-07-17 16:26:45,515 autoreload File C:\Users\miria\AppData\Local\Programs\Python\Python310\Lib\uu.py first seen with mtime 1680677242.0
DEBUG 2024-07-17 16:26:45,515 autoreload File C:\Users\miria\AppData\Local\Programs\Python\Python310\Lib\_compression.py first seen with mtime 1680677242.0
DEBUG 2024-07-17 16:26:45,516 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\keras\src\layers\serialization.py first seen with mtime 1719939250.2269926
DEBUG 2024-07-17 16:26:45,516 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\scipy\special\_ellip_harm.py first seen with mtime 1719862504.9486547
DEBUG 2024-07-17 16:26:45,516 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\keras\saving\save.py first seen with mtime 1719939316.8401835
DEBUG 2024-07-17 16:26:45,516 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\ops\array_ops.py first seen with mtime 1719939317.108825
